"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1795.287777761","1600.12485242473","948.159479902559","885.216196247024","955.591908115927","1042.58314760197","1120.85271509695","1171.06292784956","1266.40909767472","1316.53127040388","1403.02851452461","1547.25147147282","1761.13520724432","2018.36347361408","2243.09269169761","2571.55341211634","2933.59232151007","3364.70918443744","3627.80044541001","3137.34392513665","3218.37829927419","3370.55344683728","3603.5833540796","3705.34588743953","3819.21778720313","3923.70845500094","3917.37834142906","4198.82326547661","4406.75868596295","4732.07430580098","4364.31221201217",
"American Samoa","ASM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10511.0978140484","10538.0223759241","10547.7037058854","10527.0520888494","10172.1323993137","10492.2148326797","10369.2043927312","10080.052854269","10216.8176306968","10277.1051923594","9846.79866671897","9592.35779211262","9748.50645743607","10052.8432177519","9895.89773670479","9224.6047620211","9559.41811168887","9445.80502807717","",
"Antigua and Barbuda","ATG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","5196.90963573678","5435.56561759904","5883.28049184524","6372.38976550197","6623.19983316673","6618.59957836629","6973.73521691837","7681.99336274739","8269.0552414302","9224.11438112466","9841.87248414681","10347.411010832","10847.1511933844","11079.8470577846","11172.7133052932","11109.9753863613","11462.1997980597","11968.3946713232","11201.4277755774","11685.2993480512","12061.5318582966","12371.318772056","12580.0113853605","13126.0908749295","12333.5816333732","12287.4765657289","12867.6519748211","13434.2482672981","14108.1753555917","15660.1875506643","16851.2964665462","16579.5550917089","14369.1976817822","13048.9605816199","12618.5032687756","12877.1741532281","12645.518092829","12976.3314609289","13327.4344536349","13918.9818584519","14220.5208454478","15073.532766376","15445.0456766662","12870.1868119838",
"Australia","AUS","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","19378.3252760841","19468.768299553","19245.6057524971","20053.3510269212","21035.9026922183","21861.9296757339","21877.5307457311","22964.6733986814","23712.8659963529","24857.5218078372","26120.6210729662","26263.4510188456","26793.9483515177","27077.127743479","27483.6494050426","27513.8157037751","27944.1955282312","28625.1325069178","28547.9478967551","29383.0330414053","29907.7966636623","30419.4868563251","30912.1882014341","29850.1578179192","30866.2222578728","32045.3123290391","32797.1796431992","33126.195391693","34460.2797399632","35190.1647293717","35911.3720771917","35315.5059493529","35033.3896674752","36090.3842053156","37133.0413139226","38095.1290061946","39056.1680099049","40153.6147166066","41555.9449080785","43168.2987221633","44334.4163924416","44585.2111928867","45806.7194040019","46595.9234893124","47926.7258598649","48813.9164122463","49443.2322862009","51024.20916188","51841.2609971277","51767.4024588708","52022.1255961876","52567.7619238659","53682.0321439532","54129.9357689465","54679.4164458288","55079.8923433681","55728.6822551091","56058.4659514366","56832.0504820575","57183.3793476238","56307.2806848652",
"Austria","AUT","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13031.0317692215","13677.4644013835","13953.9501954416","14438.3568543653","15220.8199272257","15648.5269132562","16416.0056301174","16783.8899182416","17443.7052192203","18474.5402685695","19573.8671624626","20483.4535598112","21628.9664335624","22561.3707979535","23410.8905695839","23387.7067454633","24501.7497216814","25736.5515667292","25703.13767632","27126.1785110046","27595.8351416849","27485.8324807734","28018.5413109715","28898.2193015577","28914.8569002289","29623.4344573714","30285.933643177","30677.5444784051","31643.8093644956","32726.0598533404","33888.9959832052","34707.0717555948","35045.8447897486","34941.1438000899","35643.0281994678","36537.9935189467","37346.00747133","38084.702501734","39405.4152181248","40727.4844977123","42001.210774577","42370.9302536426","42859.3299380524","43052.602598004","43956.5829032552","44637.8560109729","45951.7346365426","47510.2937856663","48053.4823567215","46123.4911031965","46858.0432733717","48065.3165411898","48172.2381151452","47901.366129632","47842.7489082353","47789.3850154389","48215.8905287218","49031.1070286152","50051.7859126367","50536.6641459983","47008.7104329678",
"Azerbaijan","AZE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3167.4566884871","3096.83559818653","2360.90882074801","1788.16653179266","1416.61884326386","1235.15043403456","1238.63567420925","1297.895500517","1414.19846659623","1505.57806550828","1659.01197218566","1809.18278786071","1965.23115605121","2149.50028837439","2327.94187189226","2948.5733802154","3921.51609399357","4864.5889086916","5268.02827724576","5643.20774373283","5843.5337683582","5677.15767105505","5725.63412853394","5982.32593110756","6073.40274983337","6064.4733413614","5813.33289333476","5765.4107718038","5801.43792487246","5895.19898603471","5593.22452252542",
"Burundi","BDI","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","213.397408928105","180.54587139588","193.191941883689","197.306374095106","205.39625928703","208.846138556068","213.2348730987","236.535892658301","229.914889695439","221.450586067231","263.644252742783","266.977828455769","247.104758513739","261.529599097636","256.68753463758","254.676009513549","269.801575857698","294.225254306359","284.460221974539","281.916904863639","277.447584592427","303.227645461066","292.277603267793","295.195748354641","287.750125931901","312.872434157908","314.056738493431","322.085934091328","329.025093783427","324.771181499096","327.986552443762","336.58044272719","332.765632334476","305.948088258525","289.197057571992","262.375015009501","238.474664427854","232.305471099571","240.844488500605","235.308978946587","229.206101056112","228.660347577461","232.466318075956","222.807089308969","226.288624171061","221.09651882469","225.622174646664","225.858734432149","229.148482478209","230.192784154878","234.235532533654","235.988760268322","238.815936040566","242.845657168534","245.32663240645","228.432448051023","219.961407909652","214.139517297671","210.804201261524","208.074775424009","202.372052445493",
"Belgium","BEL","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13021.6523226267","13624.5883082738","14277.7557746621","14788.0932437405","15667.857518951","16079.0517691191","16474.8315912848","17017.1131514409","17661.2184337474","18778.8704316734","19807.7253917208","20559.7234222373","21563.8784560089","22867.9515686177","23836.8157944385","23300.7664142045","24573.9529166003","24697.3089301033","25375.4945117631","25946.22174111","27069.4358273345","26994.5472977401","27162.5422127729","27249.4113540089","27921.9054524642","28374.6644476755","28881.5692179812","29522.589326237","30818.8657051313","31772.4011406873","32671.6452350891","33147.139122237","33518.2431754678","33066.4173547589","34028.4248411231","34767.0289096958","35157.6952421495","36403.2582243852","37038.2489563237","38262.6247646785","39588.5978784345","39886.4953116175","40385.8680929315","40634.5964886326","41903.9923992143","42641.6935775474","43442.5827025048","44710.3842532272","44556.8252232385","43306.596023102","44141.8781415734","44309.6325382687","44361.2100930567","44355.3773098766","44855.9702018757","45507.2310582037","45850.9330303307","46415.2780486435","47030.582151299","47611.9137037576","44361.2483648185",
"Benin","BEN","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","711.937859637504","724.103225272454","688.945991080726","710.192761013309","744.802892959014","770.408270578299","783.141834698962","776.206117173064","789.78052739087","795.670347153236","795.156410656889","766.35089089026","797.648292853606","808.582234625798","816.254406282958","757.809860850433","745.781897648511","763.275123212031","753.009357151183","781.254470116008","812.099215847881","868.869838643631","863.956952692787","803.437757087394","842.76709263411","880.45649664996","873.837903917275","835.914240784555","838.929356180743","790.099959755281","833.613475528174","839.987431934611","835.260864793626","853.597058516258","841.513256449301","863.471585686764","872.915344556761","895.443382514591","903.772683829591","924.356722451508","949.737023299977","970.591003178602","985.212619338516","988.627425623198","1001.8546058334","989.372602397827","999.020589220904","1029.03270696903","1049.36867322863","1043.9613904914","1036.53459416252","1037.74722887462","1057.66716880358","1102.5268529911","1140.44817344446","1128.99539898579","1134.9241009146","1166.76191679649","1211.31802652492","1259.80816683369","1273.5413171047",
"Burkina Faso","BFA","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","268.744050704422","275.881998338769","288.909383856615","281.417410059817","283.829065653396","290.18957295776","287.226860820486","307.499843057741","311.633639207959","312.534021333178","307.535839496156","306.499249513826","308.104037457695","303.992260872227","323.211773830218","326.709051343813","347.840714114434","342.314294138151","350.856119505542","356.035817710851","350.921053776058","357.351694521017","382.055010935109","373.837968282955","357.908959344071","378.509074999212","398.172755994842","387.013553910165","398.84828260501","396.811141029967","384.068504125694","407.83835536735","397.92596620631","400.693887704248","395.040779216676","406.310993743776","438.765018189387","453.674048115354","473.371612756526","494.231449322395","489.454983984038","507.117885144696","514.189990618658","538.473690654253","546.357426754662","576.371530262417","594.378807895514","600.455777386899","616.353254305698","615.6909235282","647.836095537879","670.264381458116","692.444787200338","711.035323366977","720.151702568062","726.712830184084","747.886811821408","771.649873854517","800.314516916289","822.203714745139","815.480855632121",
